id,client_id,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,card_on_dark_web
5390,1572,Mastercard,Debit,2147483647,09/2021,676,YES,1,$946,11/2003,2015,No
3414,597,Amex,Credit,2147483647,08/2023,534,YES,1,$27500,06/2009,2009,No
845,740,Visa,Debit,2147483647,03/2023,189,YES,2,$4009,01/2020,2020,No
4133,592,Mastercard,Credit,2147483647,02/2020,684,YES,1,$5600,08/2004,2019,No
2257,1974,Mastercard,Debit,2147483647,02/2024,663,YES,1,$14747,03/2010,2010,No
1664,239,Mastercard,Debit,2147483647,08/2021,586,NO,2,$21449,02/2020,2020,No
951,1318,Visa,Credit,2147483647,04/2024,729,YES,1,$10600,01/2020,2020,No
406,1020,Amex,Credit,2147483647,05/2024,928,YES,1,$12000,01/2020,2020,No
1151,669,Mastercard,Debit,2147483647,06/2020,932,YES,1,$11164,02/2008,2009,No
5336,871,Mastercard,Debit,2147483647,08/2020,945,YES,2,$20128,10/2019,2019,No
24,1274,Visa,Debit,2147483647,04/2021,2,NO,2,$15160,01/2001,2007,No
4473,1543,Visa,Debit,2147483647,08/2024,810,YES,2,$39389,08/2018,2018,No
1053,1621,Mastercard,Debit,2147483647,12/2008,299,NO,2,$14681,02/2005,2012,No
3674,601,Mastercard,Debit (Prepaid),2147483647,09/2021,945,YES,1,$68,07/2002,2011,No
896,1857,Visa,Debit,2147483647,02/2021,414,YES,1,$49679,01/2020,2020,No
3818,331,Mastercard,Debit,2147483647,01/2021,269,YES,1,$12801,07/2007,2011,No
3767,828,Mastercard,Credit,2147483647,06/2010,780,YES,1,$8500,07/2006,2011,No
1670,1953,Mastercard,Debit,2147483647,07/2020,114,YES,1,$8257,02/2020,2020,No
5921,1678,Amex,Credit,2147483647,10/2021,507,YES,1,$12600,12/2008,2008,No
5180,1500,Visa,Credit,2147483647,03/2024,329,YES,2,$14700,10/2009,2011,No
3995,1731,Mastercard,Debit,2147483647,09/2020,772,YES,1,$18244,07/2012,2012,No
764,299,Visa,Credit,2147483647,08/2022,294,YES,1,$6100,01/2020,2020,No
