"id","current_age","retirement_age","birth_year","birth_month","gender","address","latitude","longitude","per_capita_income","yearly_income","total_debt","credit_score","num_credit_cards","created_at"
1642,37,66,1982,4,Female,"48190 Plum Drive",39.96,-74.06,19848,40470,41938,731,5,2010-01-10 00:00:00.000
1408,42,67,1978,2,Male,"209 George Avenue",33.31,-81.13,12189,24859,43986,683,2,2010-01-10 00:00:00.000
626,22,65,1997,6,Female,"394 Essex Boulevard",26.11,-80.39,42160,85954,108684,746,2,2010-01-10 00:00:00.000
330,36,71,1984,2,Male,"271 Sixth Drive",40.24,-75.28,31595,64419,183210,711,1,2010-01-10 00:00:00.000
1839,59,60,1960,6,Female,"1892 Catherine Street",37.13,-85.96,13456,27439,84665,631,1,2010-01-10 00:00:00.000
1876,50,70,1969,7,Male,"2040 Washington Boulevard",38.05,-84.72,21869,44587,17148,775,6,2010-01-10 00:00:00.000
1649,64,63,1956,2,Male,"8146 Third Avenue",29.79,-95.82,0,399,323,729,3,2010-01-10 00:00:00.000
913,56,70,1963,5,Male,"4943 Martin Luther King Lane",28.3,-81.41,13964,28476,0,693,3,2010-01-10 00:00:00.000
838,26,70,1993,7,Male,"349 First Drive",33.78,-84.44,24382,49713,91776,763,1,2010-01-10 00:00:00.000
748,55,69,1965,1,Male,"2100 Summit Street",29.76,-95.38,18412,37534,99840,706,3,2010-01-10 00:00:00.000
1976,33,69,1986,3,Female,"2552 Forest Avenue",39.61,-76.85,27906,56897,0,699,5,2010-01-10 00:00:00.000
354,77,72,1942,8,Female,"9 Plum Boulevard",38.86,-104.76,22185,31942,11845,713,6,2010-01-10 00:00:00.000
1758,57,66,1963,1,Male,"126 Valley Drive",32.32,-90.2,11061,22556,43260,645,4,2010-01-10 00:00:00.000
1835,25,65,1994,8,Female,"355 Burns Boulevard",40.86,-76.78,16519,33682,42690,793,1,2010-01-10 00:00:00.000
574,22,66,1997,12,Male,"7296 Second Lane",38.38,-84.29,17478,35635,16372,713,4,2010-01-10 00:00:00.000
1284,50,64,1969,9,Female,"8990 Plum Street",41.76,-70.08,19591,39947,57346,765,2,2010-01-10 00:00:00.000
